input_index,input_x1,input_y1,input_theta0,input_theta1,output_v0,output_delta0,output_v1
23,-0.384362475,1.676345322,1.411134368,1.621470761,0.199729663,-0.153201781,0.198526451
44,-1.01449675,0.877663468,1.062617007,1.409991346,-0.160930092,0.583175762,-0.171170768
15,-0.296674347,1.065781741,1.648245265,1.814988181,0.199989994,-0.076764216,0.198490314
36,-0.666070015,1.55052675,0.949940176,0.912312461,-0.199999917,-0.205347516,-0.200630843
31,-0.407905202,1.91732303,1.522562484,1.093359349,-0.199947524,-0.160197967,-0.188478394
12,-0.217784997,0.768350208,1.751082463,1.929908309,0.1999873,-0.112140657,0.198792841
21,-0.37166024,1.554034744,1.483379474,1.668079396,0.199905156,0.073450166,0.195156127
19,-0.363817619,1.446318736,1.552567958,1.674030394,0.199660749,-0.23315466,0.201014744
6,0.084969164,0.343191594,2.119715709,1.581405143,-0.031662592,0.266484027,-0.013522475
26,-0.32534578,2.126964585,1.268044723,1.355384495,-0.073910035,0.290553488,-0.076162775
16,-0.25048523,1.148801797,1.68588707,1.912981979,0.199989839,-0.108971323,0.197308483
19,-0.357710654,1.513083471,1.542953952,1.689108164,0.131545131,-0.26736291,0.134036383
23,-0.371620427,1.681845049,1.367903727,1.571103683,0.199971038,-0.122952002,0.198338026
16,-0.329633296,1.147378566,1.603643692,1.746086267,0.199951548,-0.018825194,0.198193723
16,-0.338667966,1.157310708,1.594040559,1.725449908,0.199950222,-0.047858737,0.198853393
47,-1.03933867,0.744282244,1.521590273,1.311846569,-0.20000001,0.239323941,-0.190633926
37,-0.731029534,1.473859424,0.85747962,0.964866382,-0.199999915,0.114853418,-0.200078836
44,-1.021492479,0.833065447,1.308749014,1.357815263,-0.199999958,-0.002255576,-0.199748194
7,-0.074345271,0.313998962,2.188710895,1.600716294,0.199959726,-0.060829602,0.163003258
31,-0.420183029,1.891962917,1.51017752,1.037670765,-0.199897367,-0.25427555,-0.189567239
42,-0.980504805,1.027027223,1.086829498,1.305715283,-0.199999703,-0.003568037,-0.195150232
24,-0.382779695,1.757103149,1.271868202,1.524808889,0.199951949,-0.021901234,0.194137701
41,-0.969910528,1.07308348,0.856889632,1.295797161,-0.189411788,0.359371506,-0.186730187
0,-0.033333333,0.216666667,1.570796327,1.570796327,0.093997693,0.022822379,0.093997693
42,-0.953996376,1.118598842,0.86629974,1.172158562,-0.200000002,-0.079949828,-0.188310355
26,-0.350432796,1.969890381,1.224977988,1.409613875,0.199981003,0.136839407,0.194069743
18,-0.363734712,1.359685499,1.625012857,1.651951005,0.199632573,-0.299125157,0.200365834
3,-0.056106302,0.091080451,1.919626148,1.241985745,-0.016810528,0.258411186,0.003104944
14,-0.279703589,0.963690725,1.66034347,1.852030333,0.19997447,-0.052793933,0.197317594
47,-1.038628335,0.742170546,1.407305791,1.313065951,-0.20000001,0.513651581,-0.19427907
39,-0.863533097,1.308566603,0.706496224,1.015782386,-0.199999903,-0.041923075,-0.189234076
25,-0.364792614,1.877889772,1.226139051,1.448476681,0.199959485,0.024788678,0.194490795
15,-0.254487863,1.054157773,1.650134941,1.91108974,0.199971675,0.070555073,0.191381107
49,-1.10417546,0.600010123,1.800027235,0.895553456,0.20000001,0.608620514,0.171463531
42,-0.97006094,1.052372718,0.86575868,1.27391555,-0.199999984,0.41595943,-0.200080966
6,0.063002604,0.248735448,2.244634051,1.545818905,0.199969515,0.126421576,0.161230491
12,-0.153006238,0.859193973,1.891184515,1.937882639,0.199960395,-0.120734145,0.200306008
25,-0.360631932,1.938359437,1.211391139,1.528223053,0.199893174,-0.157182734,0.194841086
24,-0.364507602,1.844984946,1.246170926,1.459247915,0.199976507,0.065058184,0.194078236
3,-0.095776807,0.061631032,1.932126234,1.099560175,0.063354438,0.199870491,0.057419903
2,-0.031082835,-0.024030286,1.938038741,1.257015944,0.19995825,0.367070489,0.178463718
11,-0.078660305,0.673637587,2.02948603,2.0665975,0.199986358,-0.328822966,0.201068687
27,-0.331016156,2.093642119,1.407389423,1.313114837,-0.19991871,0.074796451,-0.198326863
40,-0.82110185,1.389930251,0.728529472,0.912437177,-0.20000001,-0.195835884,-0.193046022
8,-0.066592744,0.460473912,2.113708249,1.994544373,0.156718998,-0.337937232,0.15159014
24,-0.357667448,1.899274855,1.302170482,1.467155258,0.183435142,-0.153997112,0.183473457
11,-0.201778554,0.629631289,1.7934965,1.941935616,0.199983055,-0.171048076,0.200313576
13,-0.250704077,0.862037141,1.695012134,1.886756095,0.199975562,-0.03282261,0.19693619
23,-0.376957496,1.786613955,1.345895204,1.508983907,0.199848685,-0.046776194,0.19795628
8,0.10317952,0.50224856,2.106275815,1.677119639,0.199924344,-0.024394978,0.180779559
11,-0.161519969,0.694592391,1.842652924,2.01675334,0.199988629,-0.176304085,0.200019333
12,-0.225537243,0.798674268,1.722438002,1.937895847,0.199969861,-0.060878694,0.196647835
10,-0.087686417,0.570191613,2.041885404,2.015870933,0.199975048,-0.337504237,0.199029484
44,-1.011103006,0.899987984,1.035944576,1.392861288,-0.199999982,0.415918336,-0.201927334
18,-0.345895356,1.386279207,1.628817391,1.69675261,0.19889088,-0.148018776,0.199436892
9,-0.112651593,0.493612168,1.907956453,2.061548576,0.199989009,-0.128177412,0.199595691
33,-0.518333994,1.779627564,1.262431318,0.937993394,-0.199997678,-0.247470256,-0.197452569
40,-0.89206695,1.222623929,0.90313252,1.058977379,-0.199999901,-0.157137019,-0.195137053
18,-0.356063933,1.377163686,1.621423782,1.674932488,0.189826942,-0.259227641,0.190941684
47,-1.019239965,0.829117985,1.534722467,1.367077104,-0.20000001,0.114301319,-0.195288844
39,-0.838645376,1.307285509,0.829883004,1.013980048,-0.199999926,0.17024539,-0.19973681
1,-0.015578374,0.232310179,1.765343386,1.458955445,-0.146558817,0.207380523,-0.133478518
35,-0.640836469,1.588205695,0.971142623,0.863175505,-0.199977424,-0.175258347,-0.200701537
49,-1.095220746,0.629848078,1.777923125,0.929917716,0.20000001,0.635766319,0.179976163
44,-1.008386218,0.916758431,0.996695312,1.385600997,-0.200000009,0.354352063,-0.1985011
32,-0.475802627,1.801416098,1.34464322,0.910629272,-0.177722087,-0.525657445,-0.183349343
35,-0.646301729,1.614731099,0.934576154,0.855886408,-0.199995305,-0.102775188,-0.200184333
30,-0.361310046,2.001313473,1.520415574,1.221525719,-0.199988112,0.046365774,-0.189756149
47,-1.044634006,0.732042813,1.492596629,1.29261332,-0.200000008,0.2599136,-0.190850726
18,-0.354816753,1.306380972,1.588984479,1.686052432,0.199902684,-0.145435563,0.20037116
7,-0.075621815,0.321453221,2.157488922,1.891240892,0.182160681,-0.333308167,0.166972439
45,-1.026251143,0.809774846,1.346315978,1.368156495,-0.199999985,0.060360406,-0.200084106
2,-0.09989341,0.120085174,1.773584544,1.320324135,-0.199660866,0.189151921,-0.171216996
29,-0.362228762,1.990236885,1.521088396,1.192456289,-0.030939244,-0.031252863,-0.030292203
47,-1.03476485,0.756213468,1.507230552,1.357496938,-0.20000001,0.443489561,-0.191146436
5,-0.100294832,0.161158802,2.053093671,1.182524604,0.199902675,0.223601105,0.145914264
21,-0.346694622,1.62948017,1.4903015,1.628550299,0.199971456,-0.007079894,0.198161064
9,-0.061935196,0.529563467,2.109316581,2.023265963,0.199934088,-0.406476278,0.19570088
6,0.058110531,0.294124062,2.299635477,1.722273529,0.199954306,0.011702451,0.168181541
39,-0.849783383,1.323422215,0.719343542,1.004678273,-0.19999991,-0.034661313,-0.190937769
16,-0.305864355,1.118258591,1.619247566,1.801613476,0.19997248,-0.058312978,0.197713956
47,-1.02227019,0.817975391,1.580224011,1.327404878,-0.20000001,0.087569312,-0.191451821
6,-0.05027743,0.208039341,2.247795061,1.559998478,0.199962158,-0.033463459,0.152375719
